,Name,Price,Vendor,VendorLink
450,"HP Elitebook 840 G2 - 14 Inch- Intel Core i5 5th Generation - 4GB RAM, 500GB HARD DISK - Windows® 10 Activated","Rs. 51,000",Daraz,https://www.daraz.pk/products/hp-elitebook-840-g2-14-inch-intel-core-i5-5th-generation-4gb-ram-500gb-hard-disk-windows-10-activated-i219911236-s1432872844.html?search=1
451,"Lenovo V15 15 10th Gen Core i3, 4GB, 1TB HDD, 15.6"" HD LED, Windows 10","Rs. 78,000",Daraz,https://www.daraz.pk/products/lenovo-v15-15-10th-gen-core-i3-4gb-1tb-hdd-156-hd-led-windows-10-i216634102-s1426486838.html?search=1
452,"Dell Inspiron 15 3501 Laptop - Intel Core i5-1135G7, 4GB, 1TB, NVIDIA GeForce MX330 2GB, Windows 10 Genuine Soft Mint (Official Warranty)","Rs. 115,000",Daraz,https://www.daraz.pk/products/dell-inspiron-15-3501-laptop-intel-core-i5-1135g7-4gb-1tb-nvidia-geforce-mx330-2gb-windows-10-genuine-soft-mint-official-warranty-i216491716-s1426306616.html?search=1
453,HP 15-DA200 SILVER 10TH CI5-1.0 8GB 1TB+16GB 15.6'' W10+1 90 DAYS RF,"Rs. 102,999",Daraz,https://www.daraz.pk/products/hp-15-da200-silver-10th-ci5-10-8gb-1tb16gb-156-w101-90-days-rf-i212876722-s1421146001.html?search=1
454,"Lenovo IdeaPad 3 Ice Lake - 10th Gen Core i5 12GB 256GB SSD 15.6"" HD 720p Touchscreen LED Display Windows 10 (Platinum Grey)","Rs. 102,999",Daraz,https://www.daraz.pk/products/lenovo-ideapad-3-ice-lake-10th-gen-core-i5-12gb-256gb-ssd-156-hd-720p-touchscreen-led-display-windows-10-platinum-grey-i210514074-s1417430658.html?search=1
455,Lenovo IP3 Gold Dual-core 4GB 128SSD 14.0' WIN10 1YR INT,"Rs. 71,799",Daraz,https://www.daraz.pk/products/lenovo-ip3-gold-dual-core-4gb-128ssd-140-win10-1yr-int-i209760345-s1416310546.html?search=1
456,"HP 14 DQ1040, P.GOLD, 10TH CI5, 8GB, 256GB+16GB, 14.0'', W10, 90 DAYS Refurbished","Rs. 110,999",Daraz,https://www.daraz.pk/products/hp-14-dq1040-pgold-10th-ci5-8gb-256gb16gb-140-w10-90-days-refurbished-i204260014-s1404970647.html?search=1
457,"Dell Inspiron 15 3501 10th Gen Core i3, 4GB, 1TB HDD, 15.6"" FHD LED, DOS, Black/Mint","Rs. 79,500",Daraz,https://www.daraz.pk/products/dell-inspiron-15-3501-10th-gen-core-i3-4gb-1tb-hdd-156-fhd-led-dos-blackmint-i193358004-s1386838732.html?search=1
458,HP 15-DU2097TU - 10th Gen Ci3 04GB 1TB HDD HD LED,"Rs. 79,000",Daraz,https://www.daraz.pk/products/hp-15-du2097tu-10th-gen-ci3-04gb-1tb-hdd-hd-led-i191996549-s1384246150.html?search=1
459,"HP 15-dy1087nr Notebook , Silver 15.6"" 1366 x 768 pixels 10th gen Intel® Core™ i7 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home","Rs. 127,000",Daraz,https://www.daraz.pk/products/hp-15-dy1087nr-notebook-silver-156-1366-x-768-pixels-10th-gen-intel-core-i7-8-gb-ddr4-sdram-256-gb-ssd-wi-fi-5-80211ac-windows-10-home-i179938579-s1358360005.html?search=1
460,"LENOVO IDEAPAD 330 N4000: CELERON, 4GB, 1TB, DOS, HD, 15.6"", PLATINUM GREY","Rs. 55,999",Daraz,https://www.daraz.pk/products/lenovo-ideapad-330-n4000-celeron-4gb-1tb-dos-hd-156-platinum-grey-i220112664-s1433355734.html?search=1
461,"HP Pavilion 15-EG0123TX 11th Gen Core i5 8GB 512GB SSD MX450 2GB 15.6"" FHD W10","Rs. 140,000",Daraz,https://www.daraz.pk/products/hp-pavilion-15-eg0123tx-11th-gen-core-i5-8gb-512gb-ssd-mx450-2gb-156-fhd-w10-i219168068-s1431194901.html?search=1
462,"Dell Inspiron 15 3501 Laptop - Intel Core i5-1135G7, 4GB, 1TB, NVIDIA GeForce MX330 2GB, Windows 10 Genuine Soft Mint (Official Warranty)","Rs. 110,000",Daraz,https://www.daraz.pk/products/dell-inspiron-15-3501-laptop-intel-core-i5-1135g7-4gb-1tb-nvidia-geforce-mx330-2gb-windows-10-genuine-soft-mint-official-warranty-i216622289-s1426484165.html?search=1
463,"HP 15S-DU3502TU 11th Gen Core i3, 4GB, 1TB HDD, 15.6"" HD, Windows 10","Rs. 80,000",Daraz,https://www.daraz.pk/products/hp-15s-du3502tu-11th-gen-core-i3-4gb-1tb-hdd-156-hd-windows-10-i216596708-s1426437787.html?search=1
464,"HP 15S-DU3502TU 11th Gen Core i3, 4GB, 1TB HDD, 15.6"" HD, Windows 10","Rs. 78,500",Daraz,https://www.daraz.pk/products/hp-15s-du3502tu-11th-gen-core-i3-4gb-1tb-hdd-156-hd-windows-10-i216318991-s1426090749.html?search=1
465,"ThinkBook 15, Ci5-1035G1, 8GB DDR4 2666MHz, 1TB 5400rpm, AMD Radeon R630 2GB,","Rs. 118,500",Daraz,https://www.daraz.pk/products/thinkbook-15-ci5-1035g1-8gb-ddr4-2666mhz-1tb-5400rpm-amd-radeon-r630-2gb-i214667483-s1423663028.html?search=1
466,"Lenovo IdeaPad 3 Ice Lake - 10th Gen Core i3 04GB 1-TB HDD 15.6"" HD LED Display (Platinum Grey, Lenovo Official Warranty)","Rs. 72,000",Daraz,https://www.daraz.pk/products/lenovo-ideapad-3-ice-lake-10th-gen-core-i3-04gb-1-tb-hdd-156-hd-led-display-platinum-grey-lenovo-official-warranty-i210436451-s1417332737.html?search=1
467,"HP 15S-DU2107tu 10th Gen Ci5 1035G1, 4GB, 1TB, 15.6"" Windows 10 Genuine ( 1 Year Official Warranty )","Rs. 100,000",Daraz,https://www.daraz.pk/products/hp-15s-du2107tu-10th-gen-ci5-1035g1-4gb-1tb-156-windows-10-genuine-1-year-official-warranty-i210424746-s1417348174.html?search=1
468,"HP Probook 440 G7 10th Gen Core i5, 8GB, 1TB HDD, 14"" HD, Backlit Keyboard, FPR, DOS, Silver","Rs. 114,000",Daraz,https://www.daraz.pk/products/hp-probook-440-g7-10th-gen-core-i5-8gb-1tb-hdd-14-hd-backlit-keyboard-fpr-dos-silver-i210208290-s1417036682.html?search=1
469,Dell Latitude E5470 14'' FHD - Intel Core i5-6200U 2.0GHz 8GB 256 SSD Windows 10 Pro,"Rs. 54,000",Daraz,https://www.daraz.pk/products/dell-latitude-e5470-14-fhd-intel-core-i5-6200u-20ghz-8gb-256-ssd-windows-10-pro-i204788388-s1406242716.html?search=1
470,"HP Envy X360 13M-BD0023DX 11th Gen Core i7, 8GB, 512GB NVMe M.2 SSD, 13.3″ FHD Touch, W10","Rs. 173,000",Daraz,https://www.daraz.pk/products/hp-envy-x360-13m-bd0023dx-11th-gen-core-i7-8gb-512gb-nvme-m2-ssd-133-fhd-touch-w10-i202054808-s1401178395.html?search=1
471,DELL LATITUDE E6500 15.1 Display - Intel® Core™ 2 Duo 2GB RAM - 160GB HDD - Windows® 7 Activated,"Rs. 17,500",Daraz,https://www.daraz.pk/products/dell-latitude-e6500-151-display-intel-core-2-duo-2gb-ram-160gb-hdd-windows-7-activated-i144538740-s1306046598.html?search=1
472,HP Elitebook 8460p 14-inch Notebook 2.50 GHz Intel Core i5 2nd Generation 4GB Ram 250GB Hard disk Windows® 10 Activated,"Rs. 35,000",Daraz,https://www.daraz.pk/products/hp-elitebook-8460p-14-inch-notebook-250-ghz-intel-core-i5-2nd-generation-4gb-ram-250gb-hard-disk-windows-10-activated-i219898315-s1432865400.html?search=1
473,"ThinkBook 15, Ci7-1065G7, 8GB DDR4 2666MHz, 1TB 5400rpm, Intel Iris Plus Graphics, 15.6"" FHD Anti-glare","Rs. 132,500",Daraz,https://www.daraz.pk/products/thinkbook-15-ci7-1065g7-8gb-ddr4-2666mhz-1tb-5400rpm-intel-iris-plus-graphics-156-fhd-anti-glare-i214673264-s1423650820.html?search=1
474,"LENOVO YOGA 7 X360-TOUCH W.GOLD 11th CI5-2.4 8GB 256GB-SSD 15.6"" - FP+BKB+W10+1YEAR INT","Rs. 138,999",Daraz,https://www.daraz.pk/products/lenovo-yoga-7-x360-touch-wgold-11th-ci5-24-8gb-256gb-ssd-156-fpbkbw101year-int-i209858864-s1416502062.html?search=1
475,"Dell Latitude 14 3410 - Core i3 10th Gen - 04GB RAM 1TB HDD 14"" HD 720p LED Backlit KB FP Reader Dell One Year Local Card Warranty","Rs. 85,300",Daraz,https://www.daraz.pk/products/dell-latitude-14-3410-core-i3-10th-gen-04gb-ram-1tb-hdd-14-hd-720p-led-backlit-kb-fp-reader-dell-one-year-local-card-warranty-i200366643-s1398350940.html?search=1
476,"Dell Latitude E6430 - 14"" - Core i5 3230M - Windows 7 Pro 64-bit - 4 GB RAM - 320 GB HDD","Rs. 38,999",Daraz,https://www.daraz.pk/products/dell-latitude-e6430-14-core-i5-3230m-windows-7-pro-64-bit-4-gb-ram-320-gb-hdd-i194890593-s1389478764.html?search=1
477,"Dell Vostro 14 3401 10th Gen Core i3, 4GB, 1TB HDD, 14"" HD, DOS","Rs. 72,000",Daraz,https://www.daraz.pk/products/dell-vostro-14-3401-10th-gen-core-i3-4gb-1tb-hdd-14-hd-dos-i193362015-s1386844551.html?search=1
478,"Dell Latitude 3510 10th Gen Core i3, 4GB DDR4, 1TB HDD, 15.6"" HD, DOS","Rs. 87,000",Daraz,https://www.daraz.pk/products/dell-latitude-3510-10th-gen-core-i3-4gb-ddr4-1tb-hdd-156-hd-dos-i193342565-s1386858185.html?search=1
479,"Dell Inspiron 15 3501 11th Gen Core i7, 8GB, 512GB M.2 SSD, MX330 2GB, 15.6"" FHD, Mint, Black ( 1 Year Official Warranty )","Rs. 143,000",Daraz,https://www.daraz.pk/products/dell-inspiron-15-3501-11th-gen-core-i7-8gb-512gb-m2-ssd-mx330-2gb-156-fhd-mint-black-1-year-official-warranty-i220120241-s1433351477.html?search=1
480,LENOVO THINKPAD T420 14-inch Notebook 2.50 GHz Intel Core i5 2nd Generation 4GB Ram 250GB Hard disk Windows® 10 Activated,"Rs. 29,000",Daraz,https://www.daraz.pk/products/lenovo-thinkpad-t420-14-inch-notebook-250-ghz-intel-core-i5-2nd-generation-4gb-ram-250gb-hard-disk-windows-10-activated-i217441123-s1427734567.html?search=1
481,"HP 15-Du3501TU i5-1135G7-8GB, 1TB, 15.6"" LED HD, WINDOWS 10, Natural Silver","Rs. 105,000",Daraz,https://www.daraz.pk/products/hp-15-du3501tu-i5-1135g7-8gb-1tb-156-led-hd-windows-10-natural-silver-i215924228-s1425498481.html?search=1
482,"ThinkBook 14, Corei7-1065G7, 8GB DDR4 2666MHz, 1TB 5400rpm, Intel Iris Plus Graphics, 14.0"" FHD Anti-glare, Y-FPR","Rs. 132,499",Daraz,https://www.daraz.pk/products/thinkbook-14-corei7-1065g7-8gb-ddr4-2666mhz-1tb-5400rpm-intel-iris-plus-graphics-140-fhd-anti-glare-y-fpr-i214673016-s1423656334.html?search=1
